Italian;Italiano
desc_class;PHP class name located in /library/Shineisp/Api/Registrars/
desc_username;Write here the username for the connection with the remote Soap system
desc_testmode;Check here in order to test the class.
class;Class name
username;Username
testmode;Test mode
registrant_edit;Registrant Edit
desc_registrant_edit;Edit the paramenters of the connection with the remote service and the php class.

### CATEGORIES
category_list;Category List
desc_category_list;Manage all the categories
parent;Parent Category
desc_parent;Select the parent category.
category_edit;Category Edit
desc_category_edit;Edit the information of the category selected.

### ISP PROFILE
isp_account;ISP Account 
desc_isp_account;Here you can manage your own ISP and all its settings.
vatnumber;VAT number
desc_vatnumber;Added Value Tax Number
slogan;Slogan
desc_slogan;This text will be written in the pdf invoice file.
manager;Manager
desc_manager;Firstname and lastname of the responsible of the ISP
website;Website
desc_website;URL of the istitutional web site of the company.
bankinfo;Bank Information
bankname;Bank Name
desc_bankname;Write the name of the Bank
bankaccount;Bank Account 
desc_bankaccount;Write here the Account number
iban;IBAN
desc_iban;Write down the IBAN Code
bic;BIC
desc_bic;Write down the BIC code
telephone;Telephone
desc_telephone;Write down the telephone number (eg. +39.123.123123)
fax;FAX
desc_fax;Write down the fax number (eg. +39.123.123123)
ip;IP
netmask;Netmask
  
### SERVERS
servers_list;Server List
desc_servers_list;List of all the servers available in the farm.
desc_servers;Edit the information about the server selected.
servername;Server name
servertype;Type of server
desc_servertype;Select the type of server
desc_servername;Write here the unix name of the server
desc_ip;Write here the public IP of the server
desc_netmask;Write here the netmask of the server
host;Host
desc_host;Write here the host part of your main domain
desc_domain;Write here the domain part with the TLD.
furtherinfo;Information
 
### PAYMENTS GATEWAYS
You will be redirected to the bank secure website, please be patience.;Verrai reindirizzato nel sito sicuro della banca, un momento di pazienza.
bank_list;Bank Gateway list
desc_bank_list;Here you can manage all the bank gateways.
account;Account
bank_edit;Bank Edit
desc_bank_edit;Edit the bank gateway in all its section
url_test;URL Test
desc_url_test;Sometimes the banks create a test url in order to test the transactions before to go in the production mode.
url_official;Official URL
desc_url_official;This url is the main gateway url for the real transactions 
classname;PHP class name
desc_classname;PHP Class name that manage the bank gateway. This file must be locate at /library/Shineisp/Banks/[BANKNAME]/Gateway.php

### PDF INVOICE
Site Web;Sito Web
eMail:eMail
Telephone;Telefono
FAX;FAX
VAT Number;Partita IVA
Invoice Number;Fattura Nr.
dated;del
Address;Indirizzo
Addressee;Destinatario
Destination;Destinazione
SKU;COD
Description;Descrizione
Qty;Qta
Unit;Unita'
Tax Free Price;Imponibile
Tax %;IVA %
Discount;Sconto
Subscribing %s you can save %s;Sottoscrivendo %s risparmi %s
Save %s;Risparmia %s
2 Years;2 Anni
You can save;Puoi risparmiare
Total;Totale
Continue;Segue
Order Number;Ordine Nr.
Payment Date;Data Pagamento
Tax Free Total;Imponibile
Tax Total;Totale IVA
Total with Tax;Totale Complessivo
Bank Name;Denominazione Banca
Company Name;Ragione Sociale
Customer Information;Informazioni Cliente
Click here to delete;Click qui per cancellare

### EMAILS
Dear Customer,||here below the reset password link: [link]||For further information don't hesitate to contact us.||Regards.;Gentile Cliente,||qui di seguito il link per effettuare il reset della password: [link]||.Per ulteriori informazioni non esitate al contattarci.||Cordialmente.
subject;Oggetto
expired;Scaduto
expired_on;scaduto il
daysleft;Giorni
email_newpassword;Gentile Cliente,||eccole la nuova password per accedere ai nostri servizi: [newpassword]||Per qualsiasi informazione ci contatti via email.||Cordialmente.
email_password;Gentile Cliente,||eccole il link per effettuare il reset della propria password: [link]||Per qualsiasi informazione ci contatti via email.||Cordialmente.

### CART
Dear %s welcome back in to our store!;Gentile %s bentornato nel nostro store!
Your registered email is %s;L'email registrata nel profilo è %s
Contact page;Dettagli Contatto
Complete Order;Completa Ordine
You are already registered.;Sei già registrato. Adesso fai click sul bottone Completa Ordine.
Delete All;Cancella Tutto
Add to cart;Aggiungi al Carrello
The email is already registered in our database.;L'Email inserita nel modulo è presente nei nostri archivi.
Service Recipient;Destinatario del Servizio
Cart;Carrello
contacts;Contatti
Selected products;Prodotti selezionati
Here you can see the domain choosen and its status. Furthermore, you can register or transfer other domains extension.;Qui puoi visualizzare il dominio selezionato ed il suo stato. Inoltre, puoi registrare o trasferire una o più estensioni di dominio. 
Create a new domain;Crea un nuovo dominio
Checkout page;Carrello
Cart Summary;Riepilogo Carrello
Please %s or fill the applicant form below.;Effettua l'%s oppure completa il modulo qui di seguito.
login;accesso
You can complete the order checkout or delete one or more products and inserting a new one. Just click on the delete link in the cart summary.;Completa l'ordine oppure se desideri inserire un nuovo prodotto al posto di uno esistente cancellali e reinseriscili. Basta fare click sul bottone cancella nel riepilogo del carrello. 
Personal data;Dati personali
Next;Prossimo
Back;Precedente
Continue Order;Procedi con l'Ordine
domain;Dominio
Register your own domain;Registra il tuo dominio
Type the domain name in the input box shown below and follow only 3 steps.;Digita il dominio nella casella in basso e segui solamente 3 passi per completare l'ordine.
The domain has been deleted from the cart list. Choose another domain name.;Il dominio è stato cancellato dal carrello. Scegli un nuovo dominio.
I would like to register this domain.;Desidero registrare questo dominio.
Register now your domain name now and every year we will renew it automatically. Anyway you can disable this option by your Control Panel.;Registra adesso il tuo nome a dominio ed alla scadenza lo rinnoveremo automaticamente. Comunque potrai disabilitare questa opzione dal tuo Pannello di Controllo.
I am this domain's owner.;Sono il proprietario di questo dominio
Write your own domain name previosly registered with another company.;Digita il nome del tuo dominio precedentemente acquistato da un'altra azienda.
The domain is not available for registration. Choose another domain name.;Questo dominio non è disponibile per la registrazione. Scegli un altro nome a dominio.
reseller;Rivenditore
payment;Pagamento
Write the domain name here in order to check if available.;Scrivi il dominio e controlla se disponibile.
CHECK NOW;CONTROLLA ORA
This is the domain selected;Questo è il dominio selezionato
Other Domains;Altri Domini
Green domains are available and they can be register.;I domini in verde sono disponibili e possono essere registrati.
Red domains are not available but if you are the owner you can transfer them.;I domini in rosso non sono disponibili ma se sei il proprietario puoi trasferirli.
Checkout;Ordina
Subscription of the service domain %s for %s;Sottoscrizione del servizio dominio %s per %s
If you fill the company field you have to set your legalform as corporation and write down your VAT code.;Se inserisci la ragione sociale devi selezionare anche la forma legale dell'attività ed inserire la partita IVA. Attenzione le ditte individuali non possono inserire una ragione sociale poichè non possono essere considerate delle aziende. Vi verrà proposto in seguito la possibilità di intestare la fattura alla vostra ditta individuale. 
The VAT code is wrong.;La partita IVA non è corretta. Devi inserire la partita IVA nel seguente modo IT00000000000 
Features;Caratteristiche
Installment;Canone
Add your review;Aggiungi la tua recensione
just;a sole
Add to Cart;Aggiungi al Carrello
get;Scheda
products;Prodotti
The domain is available for registration;Il dominio è libero ed è disponibile ed è possibile registrarlo
The domain is not available for registration but if you are the domain's owner and you can transfer it!;Il dominio non è disponibile per la registrazione ma se tu sei il proprietario puoi richiedere il trasferimento!.
Well done! Now you have to choose your preferite payment method;Ben fatto! Adesso è possibile scegliere il metodo di pagamento
You can add the Authcode after the payment has already been done;E' possibile indicare il codice di trasferimento del dominio anche dopo la realizzazione dell'ordine. 
### SYSTEM MODULE
email_tickets;Ticket Nr.: [issue_number]|Cliente: [customer]|Status: [status]|Link: [link]|Data Inizio: [date_open]|Data Chiusura: [date_close]||Oggetto: [subject]||Descrizione:|[description]||Ti consigliamo di accedere nell'area amministrativa per ulteriori dettagli.||Importante: Non rispondere a questa email ma cliccate sul link qui sopra riportato, al fine di inviare una risposta alla seguente segnalazione.||Cordialmente,|[signature]
email_subject_domains_check;Riepilogo dei Domini in scadenza questo mese
email_subject_services_check;Riepilogo dei Servizi in scadenza questo mese 
email_domains_expired;Gentile [fullname],||I seguenti domini sono attualmente registrati e mantenuti nei nostri servers. Questo messaggio viene inviato includendo i domini in scadenza e scaduti nell'arco di un mese solare.||Domini da rinnovare:||[domains]||Accedete nella vostra area clienti usando il seguente link: http://shineisp.shinesoftware.com per effettuare il rinnovo di ogni singolo dominio.||Ogni dominio può essere associato uno o più servizi. Si consiglia di accedere al pannello di controllo per controllare lo stato dei servizi annessi al dominio in via di scadenza.||Cordialmente,|[signature]
email_services_expired;Gentile [fullname],||I seguenti servizi sono prossimi alla scadenza.||Servizi da rinnovare:||[services]||Accedete nella vostra area clienti usando il seguente link: http://shineisp.shinesoftware.com per effettuare il rinnovo di ogni servizio.|I piani hosting sono collegati ad uno o più domini, controllare i domini ad essi collegati direttamente nel pannello di controllo selezionando la voce Domini dal menù.||Cordialmente,|[signature]
email_reminder_expired;Gentile [fullname]||I seguenti servizi sono attualmente mantenuti presso i nostri servers.||Il nostro sistema ha rilevato che i termini del Vostro account sono scaduti nonostante i solleciti da noi trasmessi.||I seguenti servizi sono stati sospesi.||[items]||Per ripristinare i servizi, procedete come segue:||1) Accedete all'indirizzo: [url]||2) Selezionate il servizio o il dominio scaduto||3) Effettuate il pagamento con carta di credito, facendo click sul bottone di pagamento posto nella scheda del servizio o del dominio||IMPORTANTE:|==========|Laddove il saldo non dovesse pervenire entro 3 giorni, il servizio o il dominio verrà DEFINITIVAMENTE sospeso e cancellato.||Per ogni informazione complementare, contattateci : [email]|Grazie per la vostra fiducia.||Cordialmente,|[signature]
email_renew;Gentile [fullname],||come richiesto è stato realizzato il rinnovo del servizio richiesto.||Per ulteriori dettagli fare click su: [url]||Grazie per la vostra fiducia.||Cordialmente,|[signature]
email_renew_subject;Rinnovo Servizio
email_items_expired;Servizi sospesi.
email_new_order;Gentile [fullname],||la ringraziamo per aver richiesto i servizi presenti nell'ordine in oggetto.||Potete effettuare il pagamento via Carta di Credito oppure via Bonifico bancario. Di seguito le coordinate:||Pagare con Carta di Credito:||- Accedete all'indirizzo: [url]||- Effettuate il pagamento con carta di credito, facendo click sul bottone di pagamento posto nella scheda dei dettagli dell'ordine||Pagare con Bonifico Bancario:||Inviate il vostro bonifico bancario a:||[bank]||Inserite nella descrizione del bonifico il codice d'ordine: [orderid]||Per ogni informazione complementare, contattateci : [email]|Il Vostro ordine [orderid] è appena stato eseguito.Sarà ultimato entro breve con riserva di fattibilità.||Vi ringraziamo per la fiducia accordata alla nostra azienda e Vi auguriamo una buona giornata.||Cordialmente,|[signature]
email_new_order_subject;Nuovo Ordine

### CONTACTS MODULE
Contact us;Contattaci Adesso
Fill the form with your requests, we will reply you as soon as possible.;Compila il modulo con la tua richiesta ti risponderemo il più presto possibile.
Sales Question;Domanda sull'acquisto
Billing Question;Domanda sulla fatturazione
Partnership Inquiry;Richiesta di Collaborazione
Website Feedback;Suggerimenti sul sito web
Write here your message.;Scrivi il tuo messaggio
Write the chars to the field;Scrivi i caratteri nel campo di testo
Submit your request;Invia Richiesta
Subject;Oggetto
Company;Azienda
Write here your firstname and lastname.;Scrivi il tuo nome ed il tuo cognome
Captcha value is wrong;Il Captcha inserito non è corretto   

### DOMAIN CHECKER PLUGIN
You have to login or create a new account profile to go on.;Devi effettuare l'accesso o creare un nuovo profilo per proseguire.
Choose your new domain name!;Scegli il tuo nuovo Dominio!
GO;VAI
yourdomain;tuodominio
companyname;nomeazienda
Domain name is empty!;Il nome a dominio è vuoto!
%s is still free.;%s è ancora libero.
%s is already taken.;%s è stato già preso.
Register it;Registralo
Register;Registra
Transfer it;Trasferisci
I would like to transfer %s;Desidero trasferire %s
Select all the domains;Seleziona tutti i domini
Domain Suggestions;Domini Consigliati
Search another domain name;Cerca un altro nome a dominio
Order Selected;Ordina Selezionati
Change Name;Cambia Dominio
Read more;Approfondisci
To transfer your domain name, please unlock it at the old provider control panel website and get the AUTHINFO code of your domain.;Per trasferire il tuo dominio, sbloccalo nel pannello di controllo del tuo vecchio provider e recupera il codice AUTHINFO del tuo dominio.
Write here your AUTHINFO code for your domain %s (optional);Inserisci il codice AUTHINFO relativo al dominio %s (opzionale)
You have to check one of the domain tlds.;Devi spuntare una delle caselle relative alle estensioni desiderate.

### BROWSER PLUGIN
Your browser is not supported here;Il browser utilizzato non è supportato 
You are currently using an unsupported browser;Stai utilizzando un browser non supportato
Please install one of the many optional browsers below to proceed;Installa uno dei seguenti browser per procedere
Close this window at your own demise!;Chiudendo questa finestra si accettano eventuali malfunzionamenti del browser usato
Close This Window;Chiudi questa finestra 

### bJQueryUI 
Display _MENU_ records per page;Visualizza _MENU_ records per pagina
Nothing found - sorry;Nessun record trovato
Showing _START_ to _END_ of _TOTAL_ records;Visualizza _START_ di _END_ di _TOTAL_ records
Showing 0 to 0 of 0 records;Visualizza 0 di 0 di 0 records
(filtered from _MAX_ total records);(filtrati da _MAX_ record in totale)

Show all the reviews;Mostra tutte le recensioni

Locale Settings;Impostazione Lingua
I agree with the legal terms;Accetto le Condizioni Contrattuali
Agreements;Condizioni Contrattuali
Locale;Lingua

Database Connection;Connessione Database
Hostname;Hostname
Write here the hostname eg. localhost. You can specify server port, ex: localhost:3307;Digitare l'hostname es: localhost. E' possibile specificare la porta del server database, es: localhost:3307
Username;Nome Utente
Write here the database username.;Inserire il nome dell'utente 
Write here the database password.;Inserire la password
Write here the database name.;Inserire il nome del database
Check DB Connection;Controllo Connessione DB
Continue;Continua
